S.NO,CAT,COHORT,COURSE CODE,COURSE TITLE,SEM
1,PE-4,E02,23AAS3405M,EXPERT SYSTEMS,ODD
2,PE-4,E02,23AAS3406M,SELF-DRIVING CARS,ODD
3,PE-4,E26,23AAS3410M,CYBERSECURITY IN AUTONOMUS VEHICLE,ODD
4,PE-4,E02,23ACI3404M,HEURISTIC ALGORITHMS,ODD
5,PE-4,E02,23ACI3405M,SWARM INTELLIGENCE APPROCAHES,ODD
6,PE-4,E02,23ADE3404M,EDGE AI AND 5G,ODD
7,PE-4,E02,23ADE3405M,EDGE AI SECURITY AND PROTECTION,ODD
8,PE-4,E02,23ALT3404M,TEXT UNDERSTANDING,ODD
9,PE-4,E02,23ALT3405M,NATURAL LANGUAGE PROCESSING,ODD
10,PE-4,E02,23AVI3404M,VISUAL RECOGNITION AND SCENE UNDERSTANDING,ODD
11,PE-4,E02,23AVI3405M,DEEP REINFORCEMENT LEARNING FOR VISION,ODD
12,PE-4,E09,23BEW3404M,BLOCKCHAIN PLATFORMS AND PROTOCOLS,ODD
13,PE-4,E09,23BEW3405M,BLOCKCHAIN SECURITY,ODD
14,PE-4,E09,23BEW3406M,ORACLES AND DATA FEEDS,ODD
15,PE-4,E05,23CEC3406M,ADVANCED COMPUTER ARCHITECTURE,ODD
16,PE-4,E05,23CEC3407M,PARALLEL ALGORITHMS,ODD
17,PE-4,E05,23CEC3408M,CLOUD SECURITY,ODD
18,PE-4,E05,23CEC3409M,ARCHITECTING CLOUD SOLUTIONS*,ODD
19,PE-4,E05,23CID3405M,RELIABLE CLOUD INFRASTRUCTURE: DESIGN & PROCESS,ODD
20,PE-4,E05,23CID3406M,HYBRID CLOUD INTEGRATION AND MANAGEMENT,ODD
21,PE-4,E05,23CNE3405M,SERVERLESS COMPUTING AND EVENT-DRIVEN ARCHITECTURES,ODD
22,PE-4,E05,23CNE3406M,CLOUD NATIVE SOFTWARE ARCHITECTURES,ODD
23,PE-4,E09,23CSB3405M,DATABASE SYSTEM AND SECURITY,ODD
24,PE-4,E09,23CSB3406M,PROGRAMMING FOR SMART CONTRACTS,ODD
25,PE-4,E09,23CSB3407M,CLOUD SECURITY,ODD
26,PE-4,E11,23DEA3404M,DATA WAREHOUSING AND BUSINESS INTELLIGENCE,ODD
27,PE-4,E09,23DLA3405M,BLOCKCHAIN ANALYTICS,ODD
28,PE-4,E09,23DLA3406M,CRYPTOCURRENCY AND BLOCKCHAIN TECHNOLOGY,ODD
29,PE-4,E11,23DSB3404M,BIG DATA OPTIMIZATION,ODD
30,PE-4,E11,23DSB3407M,DATA ANALYTICS ON CLOUD,ODD
31,PE-4,E11,23DSB3408M,DIGITAL MEDIA ANALYTICS,ODD
32,PE-4,E13,23DSB3406M,DIGITAL VIDEO PROCESSING,ODD
33,PE-4,E17,23GDU3404M,COMPUTER GRAPHICS,ODD
34,PE-4,E17,23GDU3405M,3D MODELLING & ANIMATION,ODD
35,PE-4,E22,23RAN3405M,ARTIFICIAL INTELLIGENCE FOR ROBOTICS,ODD
36,PE-4,E22,23RAN3406M,HUMAN MACHINE INTERFACE & BRAIN MACHINE INTERFACE,ODD
37,PE-4,E11,23SDM3405M,DIGITAL MEDIA ANALYTICS,ODD
38,PE-4,E11,23SDM3406M,ETHICAL SOCIAL MEDIA,ODD
39,PE-4,E27,23SMD3404M,SOFTWARE PROJECT MANAGEMENT,ODD
40,PE-4,E27,23SMD3405M,SOFTWARE ARCHITECTURE & DESIGN,ODD
