SL NO,CAT,COHORT,COURSE CODE,COURSE TITLE,SEM
1,ESC,E05,25SC2006,OBJECT ORIENTED PROGRAMMING,ODD
2,PCC,E12,25EC2206,EMBEDDED SYSTEM DESIGN AND IOT,ODD
3,PCC,E11,25AD2101,DATABASE MANAGEMENT SYSTEMS,ODD
4,PCC,E16,25CS2101,FRONT END DEVELOPMENT FRAMEWORKS,ODD
5,PCC,E05,25CS2102,OPERATING SYSTEMS,ODD
6,PCC,E02,25AD2102,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,ODD
7,BSC,E11,25MT1306,MATHEMATICS FOR DATA SCIENCE AND ANALYTICS,EVEN
8,PCC,E16,25CS2203,FULL STACK WEB DEVELOPMENT,EVEN
9,PCC,E09,25CS2204,COMPUTER NETWORKS AND SECURITY,EVEN
10,PCC,E02,25AD2203,DEEP LEARNING,EVEN
11,PCC,E05,25CS2205,CLOUD INFRASTRUCTURE AND SERVICES,EVEN
12,PCC,E06,25CS2206,DESIGN AND ANALYSIS OF ALGORITHMS,EVEN
13,ESC,E02,25SC2107E,MACHINE LEARNING,ODD
14,PCC,E06,25CS2103E,DATA STRUCTURES AND ALGORITHMS - 3,ODD
15,PCC,E06,25CS2104E,ADVANCED OBJECT-ORIENTED PROGRAMMING,ODD
16,PCC,E05,25CS2105E,OPERATING SYSTEMS AND SYSTEMS PROGRAMMING,ODD
17,PCC,E05,25CS2206E,CLOUD INFRASTRUCTURE AND SERVICES,ODD
18,PCC,E02,25CS2207E,GENERATIVE AI AND AI PLATFORM ENGINEERING,ODD
19,PCC,E09,25CS2208E,COMPUTER NETWORKS AND NETWORK PROGRAMMING,ODD
20,PCC,ALL,25EC2206E,EMBEDDED SYSTEM DESIGN AND IOT,ODD
21,PCC,E11,25CS2309E,BIG DATA ENGINEERING AND DATA PIPELINES,EVEN
22,PCC,ALL,25EC2308E,EMBEDDED SOFTWARE DEVELOPMENT,EVEN
23,PCC,E16,25CS2310E,CI/CD AND CLOUD DEVOPS,EVEN
24,PCC,E05,25CS2311E,SYSTEM DESIGN FOR SCALABILITY AND RELIABILITY,EVEN
25,BSC,E11,24AD3107,SCIENCE ELECTIVE -1 (DATA SCIENCE ),ODD
26,PCC,E09,24CS3105R,INFORMATION ASSURANCE AND SECURITY,ODD
27,PCC,E06,24CS3206R,THEORY OF COMPUTATION,ODD
28,PCC,E27,24CI3201R,ADAPTIVE SOFTWARE ENGINEERING,ODD
29,SDC,E16,24SDCS03R,SOA PROGRAMMING AND MICROSERVICES,ODD
30,PEC-1,E02,24AAS3101,AUTONOMOUS DRIVER ASSISTIVE SYSTEMS,ODD
31,PEC-1,E02,24AAS3102,AI AND CONTROLS FOR AUTONOMOUS FUTURE TRANSPORT,ODD
32,PEC-1,E02,24AAS3112,ECU DESIGN FOR AUTONOMOUS SYSTEMS,ODD
33,PEC-1,E02,24ACI3101,GENERATIVE ADVERSARIAL NETWORKS,ODD
34,PEC-1,E02,24AVI3101,DEEP LEARNING ,ODD
